id,name,sex_ed_mandated,hiv_ed_mandated,med_acc,age_appr,cult_appr,anti_religion,parents,parents_cons,parents_opt,contraception,sex_in_marriage,abstinence,orientation,neg_outcomes,refusal,decisions,family_comm,hiv_cond,hiv_abs
01',Alabama,0,1,0,1,0,0,0,0,1,1,1,0.5,-1,1,1,0,0,1,0.5
04',Arizona,0,0,0,1,0,0,0.5,1,0.5,0,0,0.5,,,,,,,
06',California,1,1,1,1,1,1,1,0,1,0,0,,,,,,,,
08',Colorado,0,0,1,1,1,0,1,0,1,0,0,,,,,,,,
09',Connecticut,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,
10',Delaware,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
11',District of Columbia,1,1,0,1,0,0,1,0,1,0,0,,,,,,,,
12',Florida,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,
13',Georgia,1,1,0,0,0,0,1,0,1,0,0,,,,,,,,
15',Hawaii,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,
16',Idaho,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
17',Illinois,0,1,1,1,0,0,0,0,1,0,0,,,,,,,,
18',Indiana,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,
19',Iowa,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,
21',Kentucky,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
22',Louisiana,0,0,0,1,0,1,1,0,1,0,0,,,,,,,,
23',Maine,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,
24',Maryland,1,1,0,0,,,,,,,,,,,,,,,
25',Massachusetts,0,0,0,0,,,,,,,,,,,,,,,
26',Michigan,0,1,1,1,,,,,,,,,,,,,,,
27',Minnesota,1,1,0,0,,,,,,,,,,,,,,,
28',Mississippi,1,0,0,1,,,,,,,,,,,,,,,
29',Missouri,0,1,0,1,,,,,,,,,,,,,,,
30',Montana,1,1,0,0,,,,,,,,,,,,,,,
32',Nevada,1,1,0,1,,,,,,,,,,,,,,,
33',New Hampshire,0,1,0,0,,,,,,,,,,,,,,,
34',New Jersey,1,1,1,1,,,,,,,,,,,,,,,
35',New Mexico,1,1,0,0,,,,,,,,,,,,,,,
36',New York,0,1,0,0.5,,,,,,,,,,,,,,,
37',North Carolina,1,1,1,1,,,,,,,,,,,,,,,
38',North Dakota,1,0,0,0,,,,,,,,,,,,,,,
39',Ohio,1,1,0,0,,,,,,,,,,,,,,,
40',Oklahoma,0,1,0,0,,,,,,,,,,,,,,,
41',Oregon,1,1,1,1,,,,,,,,,,,,,,,
42',Pennsylvania,0,1,0,0.5,,,,,,,,,,,,,,,
44',Rhode Island,1,1,1,1,,,,,,,,,,,,,,,
45',South Carolina,1,1,0,1,,,,,,,,,,,,,,,
47',Tennessee,1,1,0,0.5,,,,,,,,,,,,,,,
48',Texas,0,0,0,1,,,,,,,,,,,,,,,
49',Utah,1,1,1,0,,,,,,,,,,,,,,,
50',Vermont,1,1,0,1,,,,,,,,,,,,,,,
51',Virginia,0,0,0,1,,,,,,,,,,,,,,,
53',Washington,0,1,1,1,,,,,,,,,,,,,,,
54',West Virginia,1,1,0,0,,,,,,,,,,,,,,,
55',Wisconsin,0,1,0,0,,,,,,,,,,,,,,,
