id,name,contraception,abstinence,sex_in_marriage,orientation,neg_outcomes,refusal,decisions,family_comm,hiv_cond,hiv_abs
01',Alabama,1,0.5,1,-1,1,1,0,0,1,0.5
04',Arizona,0,0.5,0,0,1,1,0,0,0,0.5
05',Arkansas,0,0.5,1,0,0,1,0,0,0,0.5
06',California,1,1,0,1,0,1,1,1,1,1
08',Colorado,1,1,0,1,0,1,1,1,1,1
10',Delaware,1,0.5,0,1,0,1,1,0,1,0.5
11',District of Columbia,1,0,0,0,0,1,0,0,0,0
12',Florida,0,0.5,1,0,1,1,0,0,0,0.5
13',Georgia,0,0.5,1,0,1,0,0,0,0,1
15',Hawaii,1,1,0,0,0,0,1,0,1,0.5
17',Illinois,1,0.5,1,0,1,1,0,0,1,0.5
18',Indiana,0,0.5,1,0,0,0,0,0,0,0.5
19',Iowa,0,0,0,1,0,0,0,0,0,0
21',Kentucky,0,0.5,0,0,1,0,1,0,0,1
22',Louisiana,0,0.5,1,0,0,0,0,0,0,0.5
23',Maine,1,0.5,0,0,0,0,1,1,1,0.5
24',Maryland,1,1,0,0,0,1,1,0,1,1
26',Michigan,0,0.5,1,0,1,1,1,0,0,0.5
27',Minnesota,0,1,0,0,0,0,1,0,0,1
28',Mississippi,,0.5,1,0,1,1,0,0,0,0.5
29',Missouri,0,0.5,1,0,1,1,1,0,0,0.5
30',Montana,0,1,0,0,0,0,0,0,0,1
33',New Hampshire,0,0,0,0,0,1,1,0,0,1
34',New Jersey,1,0.5,0,1,0,0,1,0,1,0.5
35',New Mexico,1,1,0,1,0,1,1,1,1,0.5
36',New York,0,0,0,0,0,0,0,0,1,0.5
37',North Carolina,1,0.5,1,0,0,1,1,1,1,0.5
38',North Dakota,0,1,0,0,0,0,0,0,0,0
39',Ohio,0,0.5,1,0,1,0,0,0,0,0.5
40',Oklahoma,0,0.5,0,0,0,0,0,0,1,1
41',Oregon,1,0.5,0,1,0,1,1,1,1,0.5
42',Pennsylvania,0,0,0,0,0,0,0,0,0,0.5
44',Rhode Island,1,0.5,0,1,0,1,1,0,1,0.5
45',South Carolina,1,0.5,1,-1,0,0,0,0,0,0.5
47',Tennessee,0,0.5,1,0,1,1,1,1,0,0.5
48',Texas,0,0.5,1,-1,1,1,1,0,1,0.5
49',Utah,0,0.5,1,0,0,1,1,1,0,0.5
50',Vermont,1,1,0,0,0,1,1,1,1,1
51',Virginia,1,1,1,0,0,1,0,1,1,1
53',Washington,1,0.5,0,1,0,1,1,1,1,0.5
54',West Virginia,1,1,0,0,1,1,1,0,1,1
55',Wisconsin,0,0.5,1,0,0,0,0,0,0,0.5
,Wyoming,0,0,0,0,0,1,0,0,0,0
